"usuario_id","idade","genero","historico_compras","categoria_preferida","tempo_na_plataforma","produtos_visualizados","nivel_atividade","realizou_compra","churn","produto_recomendado"
31,22,"Masculino","Alto","Casa",18,22,"Alto","Sim","Sim","C"
32,28,"Masculino","Médio","Casa",7,16,"Médio","Sim","Não","E"
33,36,"Masculino","Baixo","Casa",6,20,"Baixo","Não","Não","B"
34,26,"Feminino","Médio","Casa",6,19,"Baixo","Não","Sim","A"
35,63,"Feminino","Alto","Esportes",8,17,"Baixo","Não","Sim","A"
36,43,"Masculino","Médio","Eletrônicos",13,14,"Médio","Não","Não","E"
37,60,"Feminino","Baixo","Beleza",4,18,"Baixo","Não","Não","C"
38,29,"Masculino","Médio","Moda",23,27,"Médio","Não","Não","C"
39,35,"Masculino","Médio","Eletrônicos",10,14,"Baixo","Sim","Não","E"
40,45,"Masculino","Médio","Eletrônicos",14,19,"Alto","Não","Sim","E"
41,27,"Feminino","Baixo","Moda",17,19,"Médio","Sim","Sim","E"
42,22,"Feminino","Baixo","Moda",19,27,"Alto","Sim","Não","A"
43,55,"Masculino","Médio","Moda",20,16,"Médio","Sim","Não","D"
44,50,"Masculino","Médio","Beleza",16,19,"Alto","Não","Não","D"
45,62,"Masculino","Baixo","Beleza",14,25,"Alto","Não","Sim","A"
46,59,"Masculino","Médio","Esportes",10,14,"Alto","Sim","Não","E"
47,44,"Masculino","Baixo","Casa",14,19,"Médio","Não","Não","D"
48,48,"Masculino","Médio","Esportes",1,22,"Baixo","Sim","Não","B"
49,24,"Masculino","Médio","Moda",5,22,"Baixo","Não","Sim","C"
50,26,"Feminino","Médio","Casa",6,24,"Médio","Sim","Não","C"
51,24,"Feminino","Baixo","Esportes",19,18,"Médio","Sim","Não","A"
52,42,"Feminino","Médio","Moda",9,22,"Alto","Sim","Não","E"
53,53,"Masculino","Médio","Moda",13,26,"Alto","Não","Sim","B"
54,41,"Masculino","Baixo","Eletrônicos",5,22,"Baixo","Não","Sim","A"
55,63,"Feminino","Médio","Beleza",1,17,"Baixo","Não","Não","C"
56,51,"Masculino","Baixo","Esportes",6,15,"Baixo","Sim","Não","A"
57,57,"Masculino","Médio","Eletrônicos",17,17,"Alto","Não","Não","A"
58,42,"Feminino","Baixo","Beleza",6,20,"Baixo","Sim","Sim","B"
59,55,"Masculino","Alto","Esportes",19,15,"Alto","Sim","Não","B"
60,42,"Feminino","Baixo","Esportes",20,23,"Alto","Sim","Não","C"
61,40,"Masculino","Médio","Casa",17,19,"Baixo","Não","Não","B"
62,41,"Masculino","Baixo","Moda",17,23,"Médio","Sim","Não","D"
63,59,"Masculino","Baixo","Eletrônicos",3,26,"Médio","Não","Sim","C"
64,65,"Masculino","Alto","Casa",8,15,"Alto","Não","Não","A"
65,37,"Feminino","Médio","Moda",21,15,"Alto","Não","Sim","D"
66,19,"Feminino","Médio","Beleza",19,23,"Baixo","Não","Não","C"
67,36,"Feminino","Médio","Moda",3,27,"Médio","Sim","Sim","C"
68,34,"Masculino","Alto","Esportes",24,26,"Baixo","Sim","Sim","B"
69,43,"Feminino","Baixo","Moda",22,20,"Alto","Sim","Sim","B"
70,26,"Feminino","Baixo","Casa",6,14,"Médio","Sim","Não","A"
71,52,"Feminino","Médio","Eletrônicos",16,23,"Alto","Não","Sim","B"
72,52,"Masculino","Médio","Eletrônicos",11,9,"Médio","Sim","Não","E"
73,21,"Feminino","Baixo","Eletrônicos",9,18,"Médio","Não","Não","B"
74,62,"Feminino","Alto","Esportes",18,25,"Médio","Sim","Sim","E"
75,62,"Masculino","Baixo","Esportes",18,18,"Baixo","Sim","Não","A"
76,23,"Masculino","Médio","Moda",10,14,"Alto","Não","Sim","D"
77,20,"Masculino","Médio","Esportes",5,23,"Alto","Sim","Não","B"
78,39,"Masculino","Baixo","Esportes",17,27,"Médio","Não","Não","E"
79,45,"Feminino","Baixo","Eletrônicos",16,20,"Alto","Sim","Sim","D"
80,45,"Masculino","Baixo","Beleza",10,21,"Alto","Não","Não","B"
81,55,"Masculino","Médio","Casa",13,15,"Baixo","Sim","Sim","B"
82,52,"Masculino","Alto","Beleza",6,19,"Baixo","Sim","Sim","E"
83,18,"Feminino","Baixo","Esportes",15,19,"Alto","Não","Não","A"
84,52,"Masculino","Médio","Moda",7,19,"Alto","Sim","Sim","B"
85,31,"Masculino","Baixo","Esportes",1,24,"Baixo","Não","Não","E"
86,52,"Feminino","Baixo","Beleza",22,21,"Médio","Sim","Não","A"
87,54,"Feminino","Médio","Moda",16,19,"Médio","Não","Não","E"
88,36,"Masculino","Médio","Eletrônicos",5,23,"Médio","Sim","Sim","E"
89,64,"Masculino","Alto","Eletrônicos",10,24,"Médio","Sim","Não","E"
90,47,"Feminino","Baixo","Casa",7,19,"Médio","Não","Sim","E"
91,64,"Masculino","Médio","Beleza",15,26,"Baixo","Não","Não","C"
92,25,"Feminino","Baixo","Eletrônicos",19,22,"Baixo","Sim","Não","C"
93,65,"Feminino","Médio","Moda",16,28,"Médio","Sim","Não","A"
94,60,"Masculino","Médio","Casa",19,17,"Alto","Sim","Não","B"
95,47,"Feminino","Médio","Eletrônicos",7,23,"Médio","Sim","Não","C"
96,32,"Masculino","Médio","Esportes",20,20,"Alto","Não","Não","B"
97,57,"Masculino","Baixo","Esportes",8,25,"Alto","Não","Sim","E"
98,35,"Masculino","Médio","Casa",24,17,"Alto","Sim","Sim","A"
99,22,"Masculino","Médio","Moda",21,15,"Médio","Sim","Sim","E"
100,50,"Feminino","Médio","Esportes",8,16,"Baixo","Não","Não","B"
101,54,"Feminino","Alto","Eletrônicos",9,26,"Alto","Não","Sim","C"
102,47,"Masculino","Baixo","Casa",3,24,"Alto","Sim","Sim","A"
103,63,"Feminino","Baixo","Beleza",23,26,"Médio","Não","Sim","B"
104,31,"Masculino","Alto","Casa",12,13,"Alto","Sim","Não","A"
105,36,"Feminino","Alto","Moda",13,22,"Médio","Não","Não","E"
106,30,"Masculino","Baixo","Beleza",3,20,"Médio","Sim","Sim","B"
107,23,"Feminino","Alto","Casa",10,10,"Médio","Sim","Sim","D"
108,47,"Feminino","Médio","Eletrônicos",11,16,"Médio","Sim","Sim","E"
109,25,"Feminino","Alto","Casa",7,13,"Médio","Sim","Não","D"
110,20,"Masculino","Médio","Eletrônicos",11,19,"Baixo","Sim","Sim","A"
111,39,"Feminino","Médio","Beleza",21,19,"Baixo","Não","Não","C"
112,47,"Masculino","Médio","Eletrônicos",5,19,"Médio","Não","Não","B"
113,40,"Masculino","Médio","Esportes",18,23,"Alto","Sim","Não","A"
114,50,"Feminino","Alto","Esportes",23,16,"Médio","Não","Não","C"
115,34,"Feminino","Médio","Casa",15,21,"Alto","Sim","Sim","E"
116,19,"Feminino","Alto","Beleza",7,20,"Médio","Sim","Não","D"
117,24,"Feminino","Médio","Esportes",10,21,"Médio","Sim","Sim","A"
118,64,"Feminino","Baixo","Esportes",2,15,"Alto","Sim","Sim","B"
119,49,"Masculino","Médio","Moda",23,23,"Médio","Não","Sim","A"
120,26,"Feminino","Baixo","Casa",13,30,"Alto","Não","Não","C"
121,35,"Feminino","Baixo","Casa",22,18,"Médio","Não","Não","D"
122,54,"Feminino","Baixo","Beleza",6,38,"Baixo","Não","Sim","E"
123,58,"Feminino","Médio","Eletrônicos",12,22,"Baixo","Não","Não","A"
124,52,"Masculino","Médio","Eletrônicos",22,23,"Alto","Não","Não","B"
125,52,"Feminino","Médio","Eletrônicos",19,21,"Médio","Sim","Não","C"
126,37,"Masculino","Alto","Eletrônicos",16,15,"Alto","Sim","Não","A"
127,46,"Masculino","Alto","Casa",16,24,"Médio","Sim","Sim","A"
128,51,"Masculino","Médio","Eletrônicos",8,18,"Médio","Sim","Não","A"
129,42,"Masculino","Alto","Casa",6,29,"Alto","Não","Sim","D"
130,44,"Masculino","Alto","Eletrônicos",17,17,"Alto","Não","Não","C"
131,24,"Masculino","Baixo","Casa",10,28,"Médio","Não","Não","C"
132,23,"Feminino","Baixo","Casa",21,30,"Baixo","Sim","Não","E"
133,56,"Feminino","Baixo","Esportes",12,21,"Baixo","Não","Não","A"
134,38,"Feminino","Alto","Casa",24,11,"Médio","Sim","Sim","A"
135,32,"Masculino","Baixo","Casa",22,22,"Médio","Sim","Sim","A"
136,53,"Feminino","Baixo","Moda",10,19,"Médio","Não","Não","D"
137,39,"Feminino","Baixo","Casa",14,20,"Baixo","Sim","Sim","E"
138,29,"Feminino","Médio","Beleza",21,20,"Baixo","Não","Não","C"
139,61,"Feminino","Médio","Casa",6,21,"Baixo","Sim","Não","B"
140,53,"Masculino","Baixo","Beleza",8,24,"Baixo","Não","Não","D"
141,57,"Masculino","Baixo","Eletrônicos",6,20,"Alto","Sim","Não","B"
142,34,"Masculino","Alto","Beleza",4,26,"Baixo","Não","Sim","D"
143,19,"Masculino","Baixo","Moda",18,18,"Alto","Não","Não","B"
144,31,"Feminino","Baixo","Eletrônicos",2,24,"Médio","Sim","Sim","E"
145,57,"Feminino","Médio","Beleza",10,18,"Baixo","Não","Sim","E"
146,42,"Feminino","Baixo","Eletrônicos",19,11,"Médio","Sim","Sim","B"
147,52,"Feminino","Médio","Moda",5,16,"Médio","Sim","Sim","B"
148,35,"Masculino","Médio","Casa",16,19,"Médio","Não","Sim","A"
149,36,"Feminino","Médio","Eletrônicos",1,23,"Baixo","Não","Sim","D"
150,58,"Masculino","Médio","Beleza",19,32,"Médio","Sim","Não","D"
151,25,"Masculino","Médio","Eletrônicos",15,21,"Alto","Sim","Não","B"
152,43,"Feminino","Médio","Moda",19,16,"Alto","Sim","Não","E"
153,22,"Masculino","Baixo","Moda",12,20,"Baixo","Sim","Sim","A"
154,51,"Masculino","Alto","Moda",7,18,"Alto","Sim","Não","C"
155,27,"Feminino","Médio","Eletrônicos",12,12,"Baixo","Sim","Não","E"
156,31,"Masculino","Baixo","Casa",8,22,"Baixo","Não","Sim","C"
157,32,"Feminino","Alto","Casa",21,27,"Baixo","Não","Não","D"
158,56,"Feminino","Baixo","Moda",14,22,"Baixo","Não","Não","B"
159,44,"Masculino","Baixo","Eletrônicos",4,16,"Médio","Não","Não","E"
160,60,"Feminino","Médio","Esportes",23,25,"Médio","Não","Sim","E"
161,30,"Masculino","Alto","Casa",8,23,"Baixo","Sim","Não","D"
162,56,"Masculino","Baixo","Moda",5,17,"Médio","Não","Não","D"
163,58,"Masculino","Alto","Moda",23,36,"Alto","Não","Não","D"
164,63,"Masculino","Médio","Eletrônicos",15,24,"Médio","Não","Sim","C"
165,18,"Masculino","Médio","Beleza",18,25,"Alto","Não","Sim","B"
166,36,"Feminino","Baixo","Beleza",18,15,"Médio","Sim","Não","D"
167,55,"Masculino","Alto","Beleza",19,15,"Alto","Sim","Sim","A"
168,51,"Masculino","Alto","Casa",1,21,"Baixo","Não","Sim","E"
169,21,"Feminino","Alto","Eletrônicos",18,25,"Baixo","Não","Sim","C"
170,49,"Masculino","Baixo","Beleza",9,21,"Médio","Não","Sim","E"
171,42,"Feminino","Baixo","Beleza",15,19,"Baixo","Não","Não","D"
172,65,"Feminino","Baixo","Eletrônicos",7,22,"Médio","Não","Sim","E"
173,43,"Masculino","Baixo","Eletrônicos",18,19,"Baixo","Sim","Sim","E"
174,65,"Feminino","Alto","Beleza",5,29,"Baixo","Sim","Não","D"
175,37,"Masculino","Baixo","Beleza",3,19,"Alto","Não","Não","D"
176,32,"Masculino","Alto","Beleza",7,14,"Médio","Sim","Sim","B"
177,47,"Masculino","Alto","Beleza",14,14,"Alto","Não","Não","B"
178,34,"Feminino","Médio","Casa",8,28,"Alto","Não","Sim","E"
179,38,"Feminino","Médio","Esportes",18,16,"Médio","Não","Não","A"
180,33,"Feminino","Baixo","Esportes",18,14,"Baixo","Sim","Não","D"
181,53,"Feminino","Alto","Beleza",7,23,"Baixo","Sim","Sim","A"
182,62,"Feminino","Médio","Beleza",16,24,"Baixo","Não","Não","C"
183,51,"Feminino","Médio","Casa",24,15,"Baixo","Não","Sim","B"
184,52,"Masculino","Médio","Casa",21,16,"Alto","Sim","Sim","A"
185,55,"Masculino","Médio","Moda",14,17,"Alto","Não","Sim","C"
186,23,"Masculino","Médio","Moda",7,25,"Médio","Sim","Não","B"
187,44,"Masculino","Médio","Esportes",19,21,"Médio","Sim","Não","B"
188,50,"Masculino","Alto","Eletrônicos",19,19,"Baixo","Sim","Não","B"
189,31,"Feminino","Médio","Beleza",20,17,"Médio","Não","Sim","C"
190,39,"Masculino","Médio","Beleza",20,26,"Médio","Sim","Não","E"
191,45,"Masculino","Alto","Casa",19,17,"Baixo","Sim","Sim","E"
192,39,"Feminino","Médio","Casa",1,20,"Alto","Não","Sim","E"
193,25,"Masculino","Alto","Beleza",17,15,"Baixo","Sim","Não","E"
194,64,"Feminino","Alto","Eletrônicos",9,18,"Alto","Não","Não","B"
195,37,"Feminino","Baixo","Eletrônicos",6,27,"Baixo","Sim","Não","B"
196,31,"Masculino","Baixo","Beleza",23,22,"Baixo","Sim","Não","B"
197,65,"Masculino","Baixo","Beleza",8,19,"Alto","Não","Sim","E"
198,35,"Feminino","Médio","Esportes",21,21,"Médio","Sim","Não","B"
199,39,"Feminino","Alto","Eletrônicos",24,22,"Alto","Não","Sim","D"
200,59,"Feminino","Médio","Beleza",18,23,"Médio","Não","Não","B"
201,35,"Feminino","Baixo","Esportes",22,18,"Baixo","Sim","Não","B"
202,33,"Masculino","Alto","Moda",7,18,"Médio","Sim","Não","B"
203,34,"Masculino","Médio","Moda",4,21,"Médio","Não","Não","E"
204,30,"Feminino","Baixo","Moda",22,8,"Médio","Não","Sim","A"
205,63,"Masculino","Médio","Moda",24,27,"Baixo","Sim","Sim","A"
206,60,"Feminino","Médio","Eletrônicos",12,24,"Baixo","Não","Sim","B"
207,31,"Feminino","Baixo","Moda",18,18,"Alto","Não","Não","C"
208,27,"Feminino","Médio","Esportes",7,21,"Médio","Sim","Sim","D"
209,50,"Feminino","Médio","Casa",4,15,"Alto","Não","Não","B"
210,62,"Masculino","Médio","Eletrônicos",3,12,"Alto","Sim","Sim","E"
211,39,"Feminino","Médio","Beleza",14,17,"Alto","Não","Não","E"
212,30,"Feminino","Baixo","Casa",1,28,"Médio","Não","Sim","E"
213,23,"Feminino","Alto","Moda",14,19,"Baixo","Não","Sim","E"
214,39,"Feminino","Médio","Moda",4,19,"Médio","Sim","Não","A"
215,57,"Masculino","Alto","Casa",5,16,"Médio","Não","Não","D"
216,37,"Masculino","Médio","Moda",10,30,"Baixo","Não","Não","E"
217,38,"Feminino","Baixo","Eletrônicos",22,20,"Alto","Sim","Sim","C"
218,25,"Masculino","Médio","Esportes",19,15,"Baixo","Não","Não","A"
219,30,"Feminino","Baixo","Moda",9,25,"Baixo","Não","Não","D"
220,52,"Masculino","Médio","Casa",11,18,"Médio","Não","Não","B"
221,19,"Masculino","Baixo","Moda",14,19,"Alto","Não","Não","B"
222,61,"Masculino","Baixo","Beleza",7,28,"Baixo","Sim","Sim","B"
223,23,"Masculino","Alto","Esportes",9,21,"Alto","Não","Não","B"
224,39,"Feminino","Baixo","Esportes",18,24,"Baixo","Sim","Sim","D"
225,26,"Masculino","Médio","Esportes",8,18,"Baixo","Não","Não","D"
226,21,"Feminino","Médio","Casa",22,20,"Médio","Não","Não","E"
227,22,"Feminino","Baixo","Esportes",13,16,"Baixo","Sim","Não","C"
228,54,"Masculino","Baixo","Esportes",24,16,"Médio","Sim","Sim","C"
229,57,"Masculino","Baixo","Casa",10,16,"Alto","Não","Sim","E"
230,44,"Feminino","Alto","Casa",11,20,"Alto","Sim","Sim","D"
231,23,"Masculino","Médio","Eletrônicos",7,20,"Baixo","Não","Não","A"
232,28,"Masculino","Baixo","Eletrônicos",21,24,"Baixo","Não","Sim","C"
233,24,"Feminino","Baixo","Eletrônicos",8,21,"Médio","Sim","Sim","B"
234,23,"Feminino","Alto","Moda",12,21,"Médio","Não","Sim","C"
235,54,"Masculino","Médio","Moda",2,24,"Baixo","Sim","Não","E"
236,62,"Masculino","Médio","Eletrônicos",10,23,"Baixo","Sim","Não","E"
237,20,"Feminino","Baixo","Esportes",15,21,"Alto","Sim","Não","C"
238,47,"Masculino","Médio","Esportes",13,23,"Baixo","Não","Não","E"
239,40,"Masculino","Baixo","Esportes",18,23,"Médio","Sim","Não","D"
240,56,"Feminino","Médio","Moda",5,17,"Alto","Sim","Sim","B"
241,23,"Feminino","Alto","Casa",13,18,"Médio","Sim","Não","C"
242,34,"Masculino","Baixo","Casa",5,20,"Médio","Sim","Sim","B"
243,49,"Masculino","Alto","Moda",12,17,"Baixo","Não","Não","E"
244,49,"Feminino","Baixo","Casa",9,12,"Médio","Não","Sim","B"
245,38,"Masculino","Baixo","Esportes",6,18,"Alto","Não","Sim","E"
246,18,"Masculino","Baixo","Moda",10,23,"Médio","Sim","Não","E"
247,58,"Feminino","Baixo","Moda",3,18,"Alto","Sim","Não","E"
248,27,"Feminino","Baixo","Esportes",13,25,"Médio","Sim","Não","D"
249,51,"Masculino","Médio","Moda",19,21,"Médio","Sim","Não","A"
250,27,"Masculino","Médio","Beleza",15,17,"Alto","Sim","Sim","A"
251,54,"Feminino","Médio","Beleza",11,25,"Baixo","Sim","Sim","D"
252,19,"Masculino","Baixo","Moda",5,14,"Alto","Não","Não","A"
253,35,"Masculino","Médio","Moda",8,27,"Alto","Não","Não","C"
254,42,"Masculino","Médio","Esportes",15,22,"Alto","Não","Não","D"
255,35,"Feminino","Baixo","Eletrônicos",6,20,"Baixo","Não","Não","E"
256,38,"Feminino","Baixo","Casa",6,27,"Médio","Não","Não","A"
257,46,"Masculino","Baixo","Casa",8,19,"Médio","Não","Sim","B"
258,49,"Feminino","Médio","Beleza",23,19,"Alto","Não","Não","D"
259,51,"Masculino","Médio","Esportes",10,20,"Alto","Sim","Não","C"
260,53,"Feminino","Médio","Esportes",2,17,"Médio","Sim","Não","D"
261,29,"Feminino","Médio","Eletrônicos",20,28,"Médio","Não","Sim","E"
262,37,"Masculino","Alto","Casa",5,15,"Médio","Não","Não","B"
263,29,"Feminino","Alto","Esportes",21,15,"Baixo","Não","Sim","C"
264,53,"Feminino","Médio","Eletrônicos",21,21,"Alto","Não","Não","B"
265,55,"Masculino","Alto","Casa",12,16,"Médio","Sim","Não","D"
266,60,"Feminino","Baixo","Beleza",11,35,"Baixo","Não","Sim","D"
267,35,"Masculino","Baixo","Casa",20,18,"Baixo","Sim","Não","B"
268,53,"Masculino","Médio","Esportes",4,17,"Médio","Sim","Não","E"
269,19,"Feminino","Baixo","Beleza",9,12,"Alto","Não","Não","B"
270,35,"Feminino","Médio","Beleza",20,20,"Médio","Não","Sim","A"
271,59,"Masculino","Baixo","Casa",23,14,"Alto","Não","Não","A"
272,23,"Masculino","Médio","Casa",8,17,"Baixo","Sim","Não","C"
273,36,"Feminino","Alto","Casa",1,26,"Alto","Não","Não","A"
274,42,"Feminino","Médio","Eletrônicos",12,25,"Médio","Sim","Não","C"
275,40,"Feminino","Baixo","Beleza",17,13,"Médio","Não","Sim","E"
276,41,"Feminino","Alto","Beleza",17,16,"Médio","Sim","Não","A"
277,46,"Feminino","Baixo","Esportes",24,23,"Alto","Não","Não","D"
278,59,"Masculino","Alto","Eletrônicos",18,28,"Baixo","Sim","Sim","A"
279,25,"Feminino","Baixo","Esportes",24,7,"Alto","Sim","Não","B"
280,21,"Masculino","Alto","Eletrônicos",12,16,"Alto","Não","Sim","D"
281,31,"Feminino","Baixo","Eletrônicos",17,16,"Alto","Sim","Sim","E"
282,64,"Masculino","Baixo","Moda",15,14,"Médio","Sim","Não","A"
283,24,"Feminino","Médio","Esportes",1,18,"Médio","Sim","Sim","C"
284,25,"Masculino","Alto","Beleza",9,24,"Médio","Não","Não","D"
285,24,"Masculino","Baixo","Esportes",4,16,"Baixo","Não","Sim","A"
286,18,"Masculino","Baixo","Eletrônicos",13,13,"Baixo","Sim","Não","E"
287,39,"Feminino","Baixo","Moda",15,20,"Médio","Não","Não","D"
288,28,"Masculino","Alto","Moda",16,25,"Alto","Não","Não","C"
289,51,"Masculino","Médio","Casa",22,24,"Baixo","Sim","Sim","A"
290,34,"Feminino","Alto","Esportes",3,20,"Baixo","Não","Sim","E"
291,28,"Feminino","Baixo","Esportes",13,21,"Alto","Não","Sim","A"
292,43,"Masculino","Médio","Eletrônicos",20,18,"Médio","Não","Sim","C"
293,58,"Feminino","Alto","Esportes",12,21,"Baixo","Sim","Não","E"
294,44,"Masculino","Médio","Beleza",18,13,"Alto","Sim","Sim","A"
295,60,"Masculino","Baixo","Moda",16,32,"Médio","Não","Não","E"
296,59,"Feminino","Médio","Esportes",13,19,"Médio","Não","Sim","A"
297,31,"Feminino","Baixo","Beleza",9,22,"Médio","Sim","Não","A"
298,39,"Feminino","Baixo","Moda",4,20,"Baixo","Sim","Sim","D"
299,47,"Masculino","Médio","Casa",12,20,"Alto","Não","Não","D"
300,36,"Feminino","Médio","Casa",8,25,"Médio","Não","Sim","D"
301,49,"Masculino","Baixo","Casa",4,25,"Alto","Não","Sim","C"
302,44,"Masculino","Médio","Casa",2,16,"Médio","Sim","Não","A"
303,52,"Masculino","Baixo","Beleza",20,20,"Baixo","Não","Sim","B"
304,54,"Feminino","Baixo","Casa",10,20,"Alto","Não","Não","C"
305,44,"Masculino","Médio","Esportes",12,21,"Alto","Não","Não","A"
306,36,"Masculino","Médio","Eletrônicos",24,21,"Baixo","Não","Não","A"
307,56,"Masculino","Alto","Esportes",17,24,"Médio","Sim","Sim","A"
308,40,"Masculino","Alto","Esportes",11,25,"Alto","Não","Não","C"
309,61,"Masculino","Baixo","Casa",22,28,"Médio","Não","Não","A"
310,37,"Feminino","Médio","Beleza",20,22,"Médio","Não","Sim","B"
311,46,"Masculino","Alto","Moda",20,22,"Médio","Não","Sim","B"
312,60,"Feminino","Médio","Moda",9,17,"Alto","Não","Sim","E"
313,18,"Feminino","Baixo","Beleza",3,17,"Médio","Não","Não","D"
314,46,"Masculino","Alto","Eletrônicos",9,19,"Baixo","Sim","Não","E"
315,41,"Masculino","Baixo","Moda",23,16,"Médio","Não","Não","B"
316,22,"Masculino","Médio","Casa",1,20,"Médio","Não","Não","A"
317,23,"Masculino","Médio","Esportes",8,18,"Alto","Não","Sim","A"
318,53,"Masculino","Alto","Eletrônicos",5,14,"Médio","Não","Sim","C"
319,44,"Feminino","Médio","Moda",14,18,"Alto","Não","Sim","D"
320,51,"Feminino","Médio","Beleza",11,23,"Médio","Não","Sim","A"
321,59,"Masculino","Baixo","Esportes",10,18,"Alto","Sim","Sim","C"
322,49,"Masculino","Alto","Eletrônicos",24,26,"Alto","Não","Não","D"
323,56,"Feminino","Baixo","Esportes",5,18,"Alto","Não","Sim","E"
324,39,"Masculino","Baixo","Moda",15,22,"Alto","Não","Sim","D"
325,43,"Feminino","Baixo","Casa",23,19,"Baixo","Não","Não","C"
326,29,"Feminino","Alto","Moda",21,19,"Médio","Não","Não","C"
327,43,"Feminino","Médio","Beleza",22,21,"Baixo","Não","Não","B"
328,34,"Masculino","Baixo","Esportes",15,17,"Alto","Não","Sim","B"
329,26,"Masculino","Alto","Casa",9,22,"Médio","Não","Não","C"
330,44,"Feminino","Alto","Eletrônicos",21,23,"Médio","Sim","Sim","D"
331,63,"Feminino","Alto","Casa",18,23,"Alto","Não","Sim","B"
332,22,"Feminino","Baixo","Moda",3,19,"Alto","Sim","Não","C"
333,19,"Masculino","Alto","Moda",18,22,"Alto","Sim","Sim","D"
334,39,"Masculino","Baixo","Casa",20,15,"Médio","Não","Não","C"
335,28,"Masculino","Baixo","Moda",9,19,"Baixo","Sim","Não","B"
336,29,"Masculino","Alto","Esportes",15,27,"Médio","Não","Sim","B"
337,58,"Masculino","Baixo","Esportes",2,16,"Alto","Sim","Sim","B"
338,39,"Masculino","Baixo","Esportes",15,25,"Baixo","Sim","Sim","B"
339,24,"Masculino","Médio","Beleza",19,15,"Médio","Não","Não","D"
340,37,"Masculino","Médio","Esportes",5,22,"Médio","Sim","Não","B"
341,57,"Masculino","Médio","Esportes",2,17,"Médio","Sim","Sim","B"
342,19,"Masculino","Médio","Moda",19,17,"Médio","Não","Sim","C"
343,44,"Feminino","Médio","Eletrônicos",13,17,"Médio","Não","Sim","E"
344,64,"Feminino","Alto","Esportes",14,27,"Alto","Sim","Sim","E"
345,65,"Feminino","Médio","Moda",24,18,"Médio","Não","Sim","A"
346,63,"Masculino","Médio","Esportes",20,28,"Médio","Sim","Não","B"
347,43,"Masculino","Alto","Casa",15,17,"Baixo","Não","Não","C"
348,61,"Masculino","Médio","Moda",6,21,"Alto","Não","Sim","D"
349,57,"Feminino","Médio","Moda",17,22,"Alto","Não","Sim","A"
350,57,"Masculino","Baixo","Casa",1,26,"Baixo","Sim","Não","D"
351,32,"Feminino","Baixo","Beleza",6,20,"Baixo","Não","Sim","E"
352,59,"Feminino","Baixo","Eletrônicos",20,28,"Médio","Não","Não","A"
353,54,"Feminino","Baixo","Beleza",15,31,"Médio","Sim","Não","C"
354,25,"Masculino","Médio","Beleza",21,13,"Alto","Não","Sim","D"
355,18,"Masculino","Médio","Moda",20,24,"Baixo","Não","Não","E"
356,34,"Masculino","Médio","Beleza",12,15,"Alto","Não","Não","B"
357,30,"Feminino","Médio","Moda",8,21,"Alto","Sim","Sim","D"
