"tipo_plano","satisfacao_cliente","gasto_mensal","uso_servicos_adicionais","reclamacoes_recentes","churn"
"Básico",1.4,76.4440842771577,"Não","Não","Não"
"Avançado",4.6,107.459529038012,"Sim","Sim","Sim"
"Avançado",2.2,89.0711213438404,"Sim","Não","Não"
"Básico",4.1,133.196205443604,"Não","Sim","Não"
"Básico",2.2,108.705793032608,"Não","Não","Não"
"Básico",2.1,52.1905905151026,"Sim","Não","Sim"
"Básico",4.9,82.0389085760222,"Não","Não","Não"
"Básico",3.4,65.0360350328407,"Sim","Não","Sim"
"Intermediário",4,107.343555132843,"Sim","Sim","Sim"
"Avançado",4.3,102.828284548606,"Sim","Não","Não"
"Avançado",2,80.2987905781988,"Não","Sim","Sim"
"Avançado",2.8,99.930425799566,"Sim","Sim","Sim"
"Básico",2.9,141.758321468172,"Sim","Não","Não"
"Avançado",2.7,82.0481834010649,"Sim","Sim","Sim"
"Avançado",4.4,91.1075779456217,"Não","Sim","Não"
"Intermediário",4.4,87.6223565482287,"Sim","Não","Sim"
"Intermediário",1.4,118.347266200526,"Não","Não","Sim"
"Básico",4,107.484044609981,"Sim","Não","Não"
"Intermediário",1.4,77.9241862877933,"Não","Não","Não"
"Básico",3.2,87.6300155522246,"Não","Não","Não"
"Avançado",1.4,66.3823415229614,"Não","Não","Não"
"Avançado",4.9,41.0283727544733,"Não","Não","Não"
"Básico",3.2,108.655909813257,"Sim","Sim","Não"
"Avançado",1.6,105.105962205939,"Não","Sim","Não"
"Básico",2.9,78.5314258899837,"Não","Não","Não"
"Avançado",2.2,111.692076988285,"Sim","Sim","Sim"
"Avançado",2.1,96.7944717955326,"Não","Não","Não"
"Básico",2.2,70.5138216563912,"Não","Não","Sim"
"Avançado",3.4,119.687132821126,"Sim","Não","Não"
"Básico",4.1,121.230285629281,"Não","Não","Não"
"Básico",1.4,103.450232202363,"Não","Não","Não"
"Básico",3.8,102.201614022214,"Não","Sim","Não"
"Básico",4.7,91.7738331779149,"Não","Não","Não"
"Intermediário",2.3,118.030601711183,"Sim","Sim","Sim"
"Avançado",2.4,107.265865506323,"Sim","Sim","Não"
"Básico",4,91.0308627225574,"Não","Não","Não"
"Avançado",4,92.7160441583037,"Sim","Sim","Sim"
"Básico",3.5,82.2158627862173,"Sim","Não","Não"
"Básico",2.7,91.0397584366246,"Não","Não","Sim"
"Básico",1.5,106.190626783208,"Não","Não","Sim"
"Intermediário",4.4,92.2109501270217,"Não","Sim","Sim"
"Básico",1.4,73.8291925926644,"Não","Não","Não"
"Básico",3.8,95.7062336860763,"Não","Não","Não"
"Avançado",4.2,96.7936136496995,"Não","Não","Sim"
"Básico",1.3,80.3025641219866,"Sim","Sim","Não"
"Básico",1.1,100.123449452091,"Sim","Não","Sim"
"Básico",2.7,106.353559074559,"Não","Não","Sim"
"Básico",4.1,104.488305732601,"Não","Não","Não"
"Básico",4.4,80.2549427467939,"Não","Sim","Não"
"Avançado",4.6,127.273686853157,"Sim","Não","Não"
"Básico",2.4,108.152426951894,"Sim","Não","Sim"
"Avançado",4.5,109.220273260569,"Não","Não","Não"
"Básico",3.6,118.29100962433,"Sim","Não","Sim"
"Avançado",4.9,98.8384297769819,"Não","Não","Não"
"Intermediário",3.9,92.3113747199684,"Não","Não","Sim"
"Intermediário",4.1,106.619155012359,"Não","Sim","Não"
"Avançado",1.6,87.518373957254,"Não","Sim","Sim"
"Intermediário",2.8,66.5220136237977,"Não","Sim","Sim"
"Básico",1.4,98.1019580814902,"Não","Sim","Sim"
"Intermediário",2.8,122.132894351007,"Sim","Sim","Não"
"Avançado",3.5,107.814175029725,"Não","Não","Sim"
"Avançado",2.7,93.8793917442245,"Não","Não","Não"
"Avançado",3.3,88.5411864760437,"Sim","Não","Não"
"Intermediário",3.3,81.3769831187129,"Não","Não","Não"
"Básico",3.4,148.911677073223,"Não","Sim","Não"
"Avançado",3.5,127.802129889168,"Não","Não","Sim"
"Básico",1.7,133.009202681323,"Sim","Não","Não"
"Avançado",2.5,110.036142538713,"Não","Não","Não"
"Básico",2.9,101.728264803408,"Sim","Não","Não"
"Intermediário",1.1,95.8482877475282,"Sim","Sim","Sim"
"Avançado",3.3,111.985286383133,"Não","Não","Sim"
"Intermediário",2.3,76.8329299585667,"Não","Sim","Sim"
"Intermediário",2.3,135.193522725077,"Sim","Não","Não"
"Avançado",3,136.625029507552,"Não","Sim","Sim"
"Básico",3.5,82.3106559604455,"Não","Sim","Sim"
"Avançado",3.8,106.075233270365,"Não","Não","Não"
"Avançado",2.8,95.6058532443559,"Não","Sim","Sim"
"Básico",2.5,113.004307086873,"Sim","Não","Não"
"Básico",2.4,96.1056431500236,"Sim","Não","Não"
"Intermediário",2.5,128.499848638538,"Não","Sim","Não"
"Avançado",2.8,104.460321231358,"Não","Sim","Sim"
"Avançado",1.4,56.7773610412907,"Não","Não","Sim"
"Básico",2,116.440734640147,"Não","Sim","Não"
"Avançado",1.7,100.264604698338,"Não","Não","Sim"
"Básico",2.9,136.075672393578,"Sim","Sim","Não"
"Avançado",2.9,120.306661343558,"Não","Não","Não"
"Básico",1.4,102.559475831791,"Sim","Não","Não"
"Intermediário",3.4,100.514666404561,"Não","Não","Sim"
"Intermediário",4.2,123.432437611059,"Sim","Não","Sim"
"Avançado",1.9,112.448405070215,"Não","Sim","Não"
"Intermediário",3.6,121.457133589051,"Sim","Sim","Não"
"Básico",2.2,122.67778635531,"Sim","Não","Sim"
"Básico",1.5,101.685644452868,"Não","Sim","Não"
"Básico",2,73.5036377899702,"Não","Sim","Não"
"Básico",4.8,78.9978980077547,"Não","Não","Sim"
"Básico",4.9,124.459861596708,"Não","Sim","Não"
"Intermediário",2.8,84.9764120901505,"Sim","Sim","Sim"
"Intermediário",2.2,126.302974453199,"Sim","Não","Sim"
"Básico",1.5,125.599976045908,"Sim","Sim","Sim"
"Avançado",4.2,107.802950836622,"Não","Sim","Sim"
"Avançado",1.5,112.845551819661,"Não","Sim","Não"
"Avançado",1.8,122.653011889914,"Sim","Não","Sim"
"Avançado",2.4,112.414324276808,"Não","Não","Sim"
"Básico",2.1,70.68472798482,"Não","Não","Sim"
"Básico",3.3,85.6176752878179,"Não","Não","Não"
"Básico",4.6,143.941707007016,"Não","Não","Não"
"Avançado",1.3,116.629918538627,"Sim","Não","Não"
"Avançado",4.6,75.7887148060215,"Não","Não","Não"
"Avançado",3.7,111.009230200957,"Não","Sim","Não"
"Básico",4.5,107.086199957973,"Não","Sim","Não"
"Avançado",2.6,87.7849674680115,"Sim","Não","Não"
"Intermediário",1.5,97.2841596751408,"Não","Não","Sim"
"Intermediário",4.8,143.688821954227,"Não","Não","Não"
"Avançado",4.6,127.983858695515,"Sim","Não","Sim"
"Avançado",2.3,115.984069873821,"Não","Não","Sim"
"Intermediário",4.1,94.9718737461306,"Não","Não","Sim"
"Básico",1.2,108.06897889907,"Não","Sim","Não"
"Intermediário",4.3,123.616949047472,"Sim","Não","Sim"
"Intermediário",3.3,83.3093548520593,"Não","Não","Não"
"Avançado",3.6,144.765186351924,"Sim","Não","Sim"
"Básico",4.4,119.300778680036,"Não","Não","Sim"
"Básico",3.1,95.8645454949401,"Não","Sim","Não"
"Avançado",4.6,114.015180738922,"Não","Não","Sim"
"Avançado",4.3,91.0027894393049,"Sim","Não","Sim"
"Avançado",1.7,78.0425172768359,"Não","Não","Não"
"Básico",2.9,76.3018839212094,"Sim","Não","Sim"
"Avançado",1.2,97.1203656486356,"Sim","Não","Não"
"Intermediário",2.7,77.5113376778412,"Não","Não","Não"
"Básico",1.9,107.32566123302,"Não","Não","Não"
"Intermediário",1.8,73.4270036466968,"Sim","Não","Não"
"Intermediário",3.3,136.525092344691,"Não","Não","Não"
"Intermediário",4,114.421213006758,"Não","Não","Sim"
"Avançado",4.6,137.630784930206,"Sim","Não","Não"
"Básico",4.6,100.296210134074,"Não","Não","Não"
"Intermediário",3.6,112.067436403412,"Sim","Não","Não"
"Básico",3.1,118.900433911942,"Não","Não","Sim"
"Intermediário",2.9,96.3166130740992,"Não","Sim","Não"
"Avançado",3.2,71.1933974226483,"Sim","Sim","Sim"
"Avançado",4.5,102.786680939684,"Sim","Não","Não"
"Avançado",1.5,86.6664308225985,"Sim","Sim","Não"
"Avançado",1.5,83.7461288648967,"Não","Sim","Não"
"Avançado",2.2,79.8895380051684,"Não","Não","Não"
"Avançado",3.2,167.367822375222,"Sim","Não","Não"
"Básico",2.1,134.322901479229,"Não","Sim","Sim"
"Intermediário",2.7,76.0628727563188,"Não","Não","Sim"
"Avançado",2.3,133.352507462858,"Sim","Não","Não"
"Básico",3.2,113.277660757646,"Não","Não","Não"
"Básico",4,95.0427691615728,"Não","Sim","Sim"
"Avançado",2.4,81.8193150945447,"Sim","Sim","Sim"
"Básico",1.6,103.865505915223,"Sim","Sim","Não"
"Avançado",3,105.55493815618,"Não","Não","Não"
"Intermediário",2.5,93.1148221041867,"Não","Não","Não"
"Avançado",4.7,101.928517970326,"Não","Sim","Sim"
"Básico",2.9,110.689491286171,"Não","Não","Sim"
"Intermediário",2.9,78.8698296321226,"Não","Não","Sim"
"Básico",4.8,94.7705599359018,"Não","Não","Sim"
"Intermediário",2.4,87.7925048603519,"Sim","Sim","Sim"
"Intermediário",4.5,114.48849535944,"Não","Não","Sim"
"Intermediário",1.5,87.9966929713465,"Sim","Não","Sim"
"Básico",2.3,109.435313788123,"Não","Não","Não"
"Intermediário",2.8,99.3069569559267,"Sim","Não","Sim"
"Avançado",3.7,80.5625408175889,"Não","Não","Não"
"Intermediário",1.7,94.8776716805874,"Sim","Sim","Não"
"Básico",3.6,112.353819578507,"Sim","Não","Não"
"Básico",3.2,128.129554142438,"Não","Não","Não"
"Avançado",3.6,99.2507603097144,"Não","Sim","Sim"
"Intermediário",4.2,81.4381527835356,"Sim","Não","Sim"
"Intermediário",1.4,122.702609080497,"Sim","Não","Sim"
"Intermediário",2.6,93.1644152187847,"Não","Sim","Não"
"Avançado",1.4,116.336399930065,"Sim","Sim","Sim"
"Intermediário",3.9,120.831499930803,"Não","Sim","Não"
"Intermediário",2.4,106.498820086139,"Não","Sim","Não"
"Intermediário",3.5,97.7996870654332,"Sim","Sim","Sim"
"Intermediário",3,83.1786458923533,"Sim","Não","Sim"
"Intermediário",3.5,93.2244172346813,"Sim","Não","Sim"
"Avançado",3.8,100.710179820593,"Não","Não","Não"
"Intermediário",2.6,118.258778052272,"Não","Sim","Sim"
"Intermediário",4.9,104.562827218886,"Não","Não","Não"
"Intermediário",2,72.8162972311824,"Sim","Sim","Sim"
"Básico",2.6,95.3505115064696,"Sim","Sim","Não"
"Básico",5,101.0054169223,"Sim","Não","Não"
"Básico",3.8,87.4504516842178,"Não","Sim","Não"
"Básico",3.1,75.1703738657204,"Não","Não","Sim"
"Intermediário",4.7,124.276450730364,"Sim","Não","Sim"
"Avançado",2.7,81.2685851358292,"Não","Sim","Não"
"Intermediário",1.8,140.882669025054,"Não","Não","Sim"
"Avançado",3.9,124.78095447502,"Não","Não","Sim"
"Básico",3.5,134.253137924862,"Sim","Não","Sim"
"Básico",2.1,78.3358296402891,"Não","Sim","Sim"
"Intermediário",2.4,102.198865581335,"Não","Sim","Não"
"Básico",1,105.878145033097,"Não","Não","Não"
"Básico",4.7,94.8524706978193,"Não","Sim","Sim"
"Intermediário",2.2,94.7094131703357,"Sim","Não","Não"
"Intermediário",4.1,113.668189355179,"Não","Sim","Sim"
"Avançado",4.5,90.7050308224034,"Não","Não","Sim"
"Básico",3.4,79.7845107440841,"Sim","Não","Não"
"Avançado",3.3,104.596792243278,"Não","Não","Sim"
"Avançado",3.2,95.7078863928866,"Não","Sim","Sim"
"Avançado",2.2,93.6300706091993,"Sim","Sim","Sim"
"Básico",3.3,121.532892013282,"Não","Não","Sim"
"Intermediário",1,136.442158581823,"Sim","Não","Não"
"Intermediário",4.3,35.7206552405267,"Não","Sim","Sim"
"Básico",4,85.5451228290997,"Sim","Não","Sim"
"Básico",1.3,121.957438195037,"Não","Não","Sim"
"Intermediário",2.5,81.3085167505969,"Não","Sim","Não"
"Básico",4.1,84.1761562899836,"Não","Não","Não"
"Básico",1,95.6743439200066,"Sim","Sim","Sim"
"Básico",2.9,118.580471601059,"Sim","Não","Não"
"Intermediário",2.9,114.582574525453,"Sim","Não","Sim"
"Básico",3.3,136.005731616811,"Sim","Sim","Sim"
"Intermediário",2,124.49101260239,"Não","Sim","Não"
"Intermediário",1.4,74.5167943611533,"Sim","Sim","Não"
"Básico",4.8,107.097707290933,"Sim","Não","Sim"
"Avançado",1.5,79.814432346083,"Não","Não","Não"
"Básico",3.8,85.8078266220604,"Não","Não","Não"
"Avançado",2,92.4984988218949,"Não","Sim","Sim"
"Básico",3,118.725559874192,"Não","Sim","Não"
"Básico",3.1,76.4177322181407,"Sim","Não","Sim"
"Básico",3.8,122.54254058883,"Sim","Não","Sim"
"Básico",3.6,115.696326540119,"Não","Não","Sim"
"Intermediário",2.4,89.5497138261114,"Sim","Sim","Sim"
"Intermediário",1.4,90.8362544485639,"Sim","Não","Não"
"Básico",2.1,87.6648075950649,"Não","Sim","Não"
"Avançado",4.5,97.7017246498202,"Não","Não","Sim"
"Intermediário",3.4,89.926769044854,"Não","Não","Não"
"Básico",2.7,115.633662028991,"Não","Sim","Sim"
"Intermediário",2.1,124.8141092802,"Sim","Não","Sim"
"Básico",4.3,67.0664865566555,"Não","Não","Sim"
"Avançado",3.2,135.202476947536,"Não","Não","Não"
"Avançado",1.2,99.4952481768946,"Não","Sim","Não"
"Intermediário",2.3,83.0330717082265,"Não","Sim","Não"
"Avançado",4.5,81.635073866135,"Não","Não","Sim"
"Avançado",1.4,85.2943198087235,"Não","Não","Sim"
"Básico",1.5,120.014495560857,"Não","Não","Sim"
"Básico",2.4,113.671963225147,"Não","Não","Não"
"Básico",1,145.506980011023,"Não","Não","Não"
"Intermediário",4.3,54.1040179485068,"Sim","Não","Sim"
"Avançado",3.3,89.5329163532121,"Não","Não","Sim"
"Intermediário",1.1,94.2917174268048,"Não","Sim","Não"
"Avançado",3.1,92.4371945929841,"Sim","Sim","Não"
"Intermediário",2.6,65.2168147251462,"Não","Sim","Não"
"Intermediário",4.6,72.2246071873023,"Sim","Sim","Não"
"Intermediário",2.3,51.239325358962,"Sim","Não","Não"
"Avançado",2.4,137.043019913265,"Sim","Não","Sim"
"Intermediário",2.4,123.791388733358,"Não","Não","Sim"
"Avançado",4.3,105.214928704012,"Sim","Sim","Não"
"Básico",2,95.0370705314959,"Não","Não","Sim"
"Intermediário",4.4,91.5308530503953,"Sim","Não","Não"
"Avançado",2.8,84.5319741634028,"Não","Não","Não"
"Avançado",3.6,96.7085808302877,"Sim","Não","Sim"
"Intermediário",3.3,108.700917583496,"Não","Sim","Não"
"Avançado",4.1,98.5777205305877,"Não","Não","Não"
"Avançado",2.4,113.143468588346,"Sim","Sim","Não"
"Intermediário",4.7,111.535558355465,"Não","Não","Não"
"Básico",4.2,93.6739295621198,"Sim","Não","Não"
"Básico",4.9,128.796510057811,"Sim","Não","Não"
"Intermediário",2.7,53.0483597380678,"Sim","Não","Não"
"Intermediário",2.2,96.2588160002954,"Não","Não","Sim"
"Básico",1.9,112.496530077944,"Não","Não","Não"
"Avançado",4.3,81.1671380841887,"Não","Não","Sim"
"Avançado",4.9,73.2860331240793,"Sim","Sim","Não"
"Avançado",4.7,75.4132619570583,"Não","Não","Não"
"Avançado",1.4,84.0796583648483,"Não","Não","Sim"
"Básico",4.1,83.2150693104192,"Não","Não","Sim"
"Avançado",2.7,90.0352381399946,"Sim","Não","Não"
"Intermediário",3.5,115.545581885401,"Não","Sim","Sim"
"Básico",4.7,81.4868658904918,"Sim","Não","Não"
"Avançado",1,95.4621406712608,"Não","Não","Sim"
"Avançado",3.2,103.151369661182,"Sim","Não","Não"
"Básico",4.3,82.3042129831189,"Sim","Não","Sim"
"Avançado",4.7,96.3686258113436,"Não","Sim","Não"
"Intermediário",3.9,136.840171471089,"Sim","Não","Sim"
"Básico",1.3,96.0103318842069,"Sim","Sim","Sim"
"Básico",3.5,98.2516253534704,"Não","Não","Sim"
"Avançado",2.3,104.436264305047,"Sim","Não","Sim"
"Básico",1.2,62.6605431335775,"Sim","Não","Não"
"Avançado",3.5,89.7687844548169,"Sim","Não","Não"
"Básico",3,97.2652879828565,"Não","Sim","Sim"
"Básico",3.2,84.3309050407442,"Não","Não","Sim"
"Básico",3.4,100.28291039048,"Sim","Não","Não"
"Avançado",4.5,110.535876234235,"Não","Sim","Não"
"Intermediário",3.7,103.741106196757,"Sim","Não","Não"
"Avançado",3.5,100.542747756987,"Não","Não","Sim"
"Avançado",4.4,95.9607204996169,"Não","Não","Sim"
"Básico",1.7,98.3176595253481,"Não","Não","Não"
"Básico",4.6,91.7499811884644,"Não","Não","Não"
"Avançado",2.9,111.592134344509,"Não","Não","Não"
"Básico",4.3,72.0485379431936,"Não","Sim","Sim"
"Básico",2.3,113.602121997693,"Não","Sim","Sim"
"Básico",4.8,114.311966794325,"Sim","Sim","Sim"
"Avançado",4.9,114.251746129738,"Sim","Não","Sim"
"Avançado",1.7,78.5752303327814,"Não","Não","Sim"
"Intermediário",3.5,84.6038218053563,"Não","Não","Sim"
"Intermediário",1.6,96.596717458146,"Sim","Não","Não"
"Avançado",3.3,86.0971144024387,"Não","Não","Sim"
"Avançado",2.1,94.8446119714089,"Não","Sim","Não"
"Intermediário",3.3,74.2280024193443,"Não","Sim","Não"
"Básico",2.2,97.0404148799065,"Não","Não","Sim"
"Avançado",4.5,77.2588783677308,"Sim","Não","Sim"
"Básico",1.1,83.3068583799973,"Não","Não","Não"
"Avançado",1.8,75.3069947422243,"Não","Não","Sim"
"Avançado",2,77.1245282785682,"Não","Não","Não"
"Avançado",1.1,88.7790970178174,"Sim","Não","Não"
"Básico",3.9,94.8613417278229,"Sim","Sim","Sim"
"Avançado",3.1,138.555138242607,"Não","Não","Sim"
"Básico",1.3,83.9381099169209,"Não","Não","Sim"
"Avançado",4.9,120.878495155812,"Não","Não","Sim"
"Básico",3.7,93.6728180728854,"Não","Sim","Não"
"Avançado",1.8,84.1515903946107,"Não","Sim","Não"
"Básico",1.9,113.865338412236,"Sim","Sim","Sim"
"Intermediário",1.9,94.2911996374543,"Não","Não","Não"
"Avançado",4.3,91.5988820008629,"Não","Não","Não"
"Intermediário",4.3,109.199494489456,"Não","Não","Sim"
"Avançado",2.4,66.5168655604346,"Sim","Não","Não"
"Avançado",1.2,95.608738096177,"Sim","Sim","Sim"
"Avançado",4,118.715880560746,"Não","Sim","Não"
"Avançado",3.9,79.8890352204157,"Sim","Não","Não"
"Avançado",3.2,101.068322355577,"Não","Não","Não"
"Avançado",3,81.2626596059419,"Sim","Sim","Sim"
"Intermediário",4,66.1934318871252,"Não","Não","Não"
"Intermediário",2,80.1228376815302,"Não","Não","Sim"
"Intermediário",4.4,126.034652895336,"Não","Sim","Não"
"Avançado",2.9,119.215029483068,"Não","Não","Sim"
"Básico",4.6,82.4972182753722,"Sim","Não","Sim"
"Básico",4.7,100.06524843815,"Não","Não","Sim"
"Intermediário",1.2,71.1641664602689,"Sim","Não","Não"
"Avançado",2.6,87.0031442247092,"Não","Sim","Sim"
"Avançado",3.8,95.3481456001446,"Sim","Não","Não"
"Avançado",3.1,85.7164202513759,"Sim","Não","Sim"
"Intermediário",1.7,108.265161620469,"Sim","Não","Não"
"Intermediário",2.5,96.7833677107776,"Sim","Sim","Não"
"Básico",4.7,112.058423208156,"Sim","Sim","Não"
"Básico",4,78.7544915790398,"Sim","Sim","Sim"
"Básico",4.2,93.1691479401921,"Sim","Sim","Não"
"Avançado",1.7,108.374631061389,"Não","Não","Sim"
"Intermediário",1.8,78.524989832683,"Não","Não","Sim"
"Avançado",1.8,132.847115909558,"Sim","Não","Não"
"Avançado",2.9,114.121626249304,"Sim","Não","Sim"
"Intermediário",4.6,114.537505691006,"Sim","Não","Não"
"Básico",1.1,92.372753513218,"Não","Não","Não"
"Intermediário",4.5,76.3239849189451,"Sim","Não","Não"
"Intermediário",3.8,73.4054444079122,"Não","Não","Não"
"Intermediário",2.7,101.991648758957,"Sim","Não","Sim"
"Básico",3.1,107.89620031943,"Não","Não","Sim"
"Básico",4.2,115.533432180416,"Sim","Sim","Sim"
"Básico",1,121.47203480074,"Não","Sim","Não"
"Avançado",2.7,108.697535772098,"Não","Não","Não"
"Intermediário",4.4,126.292962907791,"Não","Não","Não"
"Básico",3.7,129.576513136259,"Não","Não","Não"
"Avançado",2.4,115.622654299833,"Não","Não","Sim"
"Avançado",4.1,105.068898040676,"Não","Não","Sim"
"Avançado",4.8,108.590593642081,"Não","Sim","Não"
"Avançado",4.4,131.638662956898,"Não","Não","Sim"
"Básico",2.1,101.21662450587,"Não","Sim","Sim"
"Avançado",3.2,70.3482212619565,"Não","Não","Não"
"Avançado",1.7,110.460260553105,"Não","Não","Não"
"Avançado",2.7,71.9057842194701,"Não","Sim","Sim"
"Intermediário",3.3,107.078674129269,"Não","Não","Não"
"Avançado",1.1,98.7621383692966,"Sim","Não","Não"
"Básico",3.4,108.189344402319,"Não","Sim","Não"
"Intermediário",2.3,84.7170940284791,"Não","Não","Não"
"Intermediário",4.9,98.303625972649,"Não","Não","Não"
"Intermediário",1.5,72.0030500848752,"Não","Sim","Não"
"Básico",2.9,95.8586196220052,"Não","Sim","Sim"
"Intermediário",3.9,87.9024813687034,"Sim","Não","Sim"
"Intermediário",4,108.9877350151,"Não","Sim","Sim"
"Intermediário",4.6,125.081917695842,"Sim","Não","Não"
"Avançado",4.4,79.8544123903025,"Sim","Sim","Sim"
"Avançado",3,82.4402198241613,"Sim","Não","Sim"
"Básico",1.5,92.0370644267562,"Não","Sim","Não"
"Intermediário",4.2,129.224582142468,"Sim","Não","Não"
"Básico",4.1,90.6261446313404,"Sim","Não","Sim"
"Básico",1.8,60.7146883868023,"Não","Não","Sim"
"Básico",1.2,106.765731785045,"Sim","Não","Não"
"Avançado",2.8,79.1468941455898,"Não","Sim","Não"
"Intermediário",4.5,113.275843119267,"Sim","Sim","Sim"
"Básico",3.2,115.082236937284,"Não","Não","Sim"
"Intermediário",1,94.7278833587689,"Sim","Sim","Não"
"Básico",3.3,99.5472493737933,"Sim","Não","Não"
"Básico",4.4,106.171546724401,"Não","Não","Não"
"Básico",1.3,124.508053637821,"Não","Sim","Não"
"Avançado",3.9,151.780505489844,"Não","Sim","Não"
"Básico",1.2,74.6798183690472,"Não","Sim","Não"
"Avançado",1.8,120.320386156338,"Não","Não","Não"
"Intermediário",2.3,102.799991633333,"Não","Sim","Não"
"Avançado",1.2,119.64669702635,"Não","Sim","Não"
"Intermediário",4.7,105.696815913693,"Não","Não","Não"
"Básico",2.2,105.116004072857,"Não","Sim","Sim"
"Básico",3.6,99.8447890496678,"Não","Sim","Sim"
"Intermediário",5,106.652740290362,"Não","Não","Não"
"Intermediário",3.6,126.115901906791,"Não","Não","Sim"
"Avançado",4,76.9049563883684,"Não","Não","Sim"
"Avançado",2.7,106.658532886026,"Não","Não","Não"
"Avançado",2.9,99.0270158134886,"Sim","Não","Sim"
"Intermediário",4.5,116.158054894514,"Não","Não","Sim"
"Avançado",2.5,87.5494233594985,"Não","Não","Sim"
"Avançado",4.9,111.353070915339,"Não","Não","Não"
"Avançado",3.1,106.994112482507,"Não","Sim","Sim"
"Avançado",2.7,108.502578592625,"Não","Sim","Não"
"Básico",2.3,101.801379445255,"Não","Não","Sim"
"Básico",2.3,94.5646217284093,"Não","Sim","Não"
"Básico",1.4,149.638683870002,"Não","Não","Não"
"Básico",2.7,78.5587337599423,"Sim","Não","Não"
"Avançado",1.6,84.4672047189986,"Não","Não","Não"
"Intermediário",3.5,93.4895817418428,"Não","Sim","Sim"
"Avançado",4.1,117.362985161645,"Não","Sim","Não"
"Avançado",1.4,110.251572583773,"Não","Sim","Não"
"Intermediário",1.3,96.5160013265251,"Não","Sim","Não"
